otu_id,sample_id,Host,project_id,count,nreads,classification,run_id
NC_035460.1,SRR5829905,Human_and_other_vertebrates,soil,1.000000001,4.010958537,soil,SRR5829905
AC_000017.1,SRR5829935,Human,soil,1.000000004,8.754365073,soil,SRR5829935
NC_001669.1,SRR5829935,Non_human_primates,soil,1.000000004,8.754365073,soil,SRR5829935
NC_008724.1,SRR5829935,Human_and_other_vertebrates,soil,2,8.754365073,soil,SRR5829935
AC_000017.1,SRR5829936,Human,soil,2,4.34057914,soil,SRR5829936
AC_000007.1,SRR5829939,Human,soil,1.999999999,1.891812824,soil,SRR5829939
NC_035460.1,SRR5829939,Human_and_other_vertebrates,soil,1,1.891812824,soil,SRR5829939
NC_028474.1,SRR5829964,Ungulata,soil,9.000000001,2.982283573,soil,SRR5829964
AC_000017.1,SRR5829970,Human,soil,3.000000001,5.92409666,soil,SRR5829970
NC_001669.1,SRR6048446,Non_human_primates,soil,1.000000001,1.715968882,soil,SRR6048446
NC_007647.1,SRR6122723,Human_and_other_vertebrates,soil,34,0.047004395,soil,SRR6122723
NC_007647.1,SRR6122725,Human_and_other_vertebrates,soil,1,0.042309902,soil,SRR6122725
NC_007647.1,SRR6122726,Human_and_other_vertebrates,soil,25,0.035314913,soil,SRR6122726
NC_007647.1,SRR6122727,Human_and_other_vertebrates,soil,4,0.044116313,soil,SRR6122727
NC_007647.1,SRR6122728,Human_and_other_vertebrates,soil,3,0.052185091,soil,SRR6122728
NC_007647.1,SRR6122729,Human_and_other_vertebrates,soil,3,0.019314227,soil,SRR6122729
NC_007647.1,SRR6122730,Human_and_other_vertebrates,soil,1,0.018745784,soil,SRR6122730
NC_007647.1,SRR6122732,Human_and_other_vertebrates,soil,1,0.018939386,soil,SRR6122732
NC_007647.1,SRR6122733,Human_and_other_vertebrates,soil,1,0.032497777,soil,SRR6122733
NC_007647.1,SRR6122735,Human_and_other_vertebrates,soil,1,0.020320159,soil,SRR6122735
NC_007647.1,SRR6122736,Human_and_other_vertebrates,soil,1,0.008568889,soil,SRR6122736
NC_007647.1,SRR6122738,Human_and_other_vertebrates,soil,1,0.030020808,soil,SRR6122738
NC_007647.1,SRR6122739,Human_and_other_vertebrates,soil,2,0.031221103,soil,SRR6122739
NC_007647.1,SRR6122740,Human_and_other_vertebrates,soil,6,0.04427891,soil,SRR6122740
NC_007647.1,SRR6122741,Human_and_other_vertebrates,soil,4,0.024204174,soil,SRR6122741
NC_007647.1,SRR6122742,Human_and_other_vertebrates,soil,6,0.015944958,soil,SRR6122742
NC_007647.1,SRR6122748,Human_and_other_vertebrates,soil,3,0.029921244,soil,SRR6122748
NC_007647.1,SRR6122750,Human_and_other_vertebrates,soil,1,0.023618375,soil,SRR6122750
NC_021312.1,SRR6201734,Birds,soil,1,14.35601208,soil,SRR6201734
NC_030447.1,SRR6201735,Human,soil,1.000000003,12.0950897,soil,SRR6201735
NC_038507.1,SRR6201737,Others,soil,0.999999999,9.101787956,soil,SRR6201737
NC_021312.1,SRR6201738,Birds,soil,0.999999999,13.5955849,soil,SRR6201738
NC_008724.1,SRR6201740,Human_and_other_vertebrates,soil,1.000000001,12.2322422,soil,SRR6201740
